strategy,scenario,num_days,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
selector_top1_gap,gross,2340,0.014516205540214253,-0.8899763676807106,0.7255056330695268,,,,
selector_top1_gap,low,2340,0.013990504838496181,-0.9675179784923437,0.699382349677206,812.0,1527.0,1.7371794871794872,3.4743589743589745
selector_top1_gap,base,2340,0.013780591257206284,-0.9800655916351617,0.6889350777516413,812.0,1527.0,2.7794871794871794,4.516666666666667
selector_top1_gap,high,2340,0.013500762646606013,-0.989605953033929,0.6750054037722281,812.0,1527.0,4.1692307692307695,5.906410256410257
rank_mean,gross,2340,0.014043860591505478,12.1546461534653,0.7566731305671529,,,,
rank_mean,low,2340,0.013549281071401532,3.217746503152757,0.7305639494202473,757.0,1582.0,1.6196581196581197,3.2393162393162394
rank_mean,base,2340,0.013351918052359846,1.6753795570883527,0.7200902888171333,757.0,1582.0,2.5914529914529916,4.211111111111111
rank_mean,high,2340,0.013088816509300024,0.4578055629356339,0.7061197369341669,757.0,1582.0,3.887179487179487,5.506837606837607
